speech,class
I think it is the opposite. If the majority of Muslims feel accepted in their demands there will be less space for the fundamentalists.,1
"I do not believe that this is the meaning of Islam; and for the more progressive Islam, the veil is an individual choice, not an imposition.",1
Think to castrate people for their religious beliefs and not for their individual responsibilities seems the product of a really retrograde mentality. Certainly not typical of the advanced West.,1
I don't want to have anything to do with the Islamists! They are murderers and terrorists and we must fight them!,0
"Our women whose? Forgive me, but I am a woman, I do not belong to anyone but myself, and I do not think that being Muslim makes someone a violent criminal.",1
Muslims rape our women and must be neutered.,0
"Hi, I also condemn these acts that are so atrocious, but it seems to me unfair to put on the same boat all the people who form this religion. The Muslim religion does not permit such acts and their perpetrators should be considered criminals, regardless of their faith or nationality.",1
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
"Quite right! To each one their own women to rape, Italian women to Italians!",1
"They don't impose the veil even to the girls, so it seems to me that they respect the freedom to choose the veil. Does not it seem to you?",1
It does not seem to me that are Muslims the ones that rape women in Italy.,1
Muslims rape our women and must be neutered.,0
"Even the mother of idiots is always pregnant, this does not mean that we can assume the right to castrate it.",1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"Stop mosques, lairs of terrorists.",0
Muslim males are troglodytes who beat their wives.,0
"We treat terrorists as they are, criminal individuals. And let's leave all the other Muslims living peacefully in our cities alone.",1
I don't want to have anything to do with the Islamists! They are murderers and terrorists and we must fight them!,0
"Unfortunately, violence against women is a cross fact that happens in every country, in every corner, and the victims are us, us women, so let's not make it an issue of nation, ethnicity, religion, a crime is a crime, whoever does it and castration does not really seem the solution to the problem.",1
Muslims rape our women and must be neutered.,0
"On what basis do you do these statements? Actually, there are criminals everywhere and they have different ethnicities and religious affiliations. There are Italian rapists and Catholic priests that are paedophiles. But these cases should not allow us to identify all persons as criminals belonging to these categories.",1
"I understand the fear linked to these horrendous crimes, but they should be condemned regardless of nationality.",1
"Castration according to belonging to a specific religion is something inhuman, being a Muslim does not mean being rapists.",1
We let them in and then we find terrorists in our home.,0
"Generalizing is always wrong. I also condemn those who commit certain crimes, but regardless of their religious beliefs or their nationality.",1
"Our whom? If it relates to the Italian women I have and I do not feel safe in reading your words. The problem is not Muslims, but the too local mentality in which man feels the woman his property.",1
"Crime has no color, nationality or religious affiliation. Throw the baby out with the bathwater is unfair and unfounded.",1
Muslims rape our women and must be neutered.,0
Muslims are all terrorists.,0
I do not think they have an interest in putting the veil on non-Muslim women.,1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
I have Muslim friends who do not think at all to blow themselves up.,1
Muslims rape our women and must be neutered.,0
So you also agree with castration of all the husbands / boyfriends / violent fellow that have Italian origin?,1
Muslims rape our women and must be neutered.,0
Reading comments of women who can write such nasty statements is even sadder.,1
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
"These islamic beasts rape their and our women, after all their religion allows it to them!",0
They will blow all of us up.,0
"I would not make a religious issue, also Christians commit rape. The issue is not religious nor racial, those who behave in a certain way must be punished.",1
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
From what can you say that there is this desire from Muslims?,1
Muslims rape our women and must be neutered.,0
"Eye for eye, tooth for tooth and are we going back to the Middle Ages? Who commits an act so heinous must pay his debt, in prison, according to the law. You know that if any Italian woman beaten and raped by her husband, the partner and sometimes even by his father, would denounce the violence, prisons would be full of italian men. You've never seen 'Amore Criminale'? It is a great program that speaks about the subject, taking the cue from the most egregious cases, look for it on 'Raiplay'.",1
Muslims rape our women and must be neutered.,0
"The veil is a religious symbol, if you're not going to convert yourself it does not concern you.",1
"Actually, Muslim people are very selective and do not like Western women.",1
"Unfortunately, violence against women has no nationality, color or religion. It must be fought in any case, not only if it is committed by a Muslim.",1
"Well, but we can choose the color .! What's your favorite?",1
Muslims are all terrorists.,0
"We do not confuse people who migrate or flee, which are many, with frantic fanatics, which are few.",1
"No woman agrees to be beaten, be unable to break free from a state of violence and submission does not mean wanting to be in it. The veil if chosen freely should not be a problem for those who simply do not choose it.",1
"Good evening, from your comment I deduce that rape Italian women should not be so much violent mens, but members of the Islamic religion. So it is something related to religion? Not a sexist and violent culture?",1
Where did you get data to confirm this statement?,1
I don't want to have anything to do with the Islamists! They are murderers and terrorists and we must fight them!,0
"Hi, are you suggesting castration as a punishment in a civilized country like Italy?",1
Castration only for Muslims or also for all Italians who commit rape?,1
"Hi, I still think that in these cases, religion or nationality have nothing to do with it. Those who commit these acts should be treated as criminals regardless of any other aspect.",1
"The Koran condemns violence on women: who does it violate religious norms. Those who abuse women, Italians or foreigners, Christians or Muslims, respect neither the law nor the religion.",1
Muslims are all terrorists.,0
"The cases of hate-mongering imams are very few, actually.",1
Muslims rape our women and must be neutered.,0
Muslims are all terrorists.,0
They will blow all of us up.,0
A woman who accepts to live hidden under a veil and get beaten by her man does not deserve to live in a civilized country like Italy.,0
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"If anything, we women must express what is harmful to us.",1
Muslims rape our women and must be neutered.,0
"Rape and violence against women exist, unfortunately, in all the world, regardless of culture or geographic location.",1
Muslims rape our women and must be neutered.,0
On what data and statistics do you make this statement?,1
What estimate do you have about it? Do you know data on rapes in Italy?,1
Muslims rape our women and must be neutered.,0
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"But you know, I could almost agree, provided that on the Italians that do the same thing, which is unfortunately a large group, it would be imposed the same penalty, and instead the Italian macho . But come on! Do you read newspapers that tell about violence on women and feminicide?",1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
A phrase that denotes a profound ignorance or a perfect bad faith because who offends women are members of the male gender in every place.,1
"The most severe forms of violence are made by partners, relatives or friends. The rapes are committed by partners in 62.7% of cases, in 3.6% and 9.4% by relatives of friends. We are talking about Italians.",1
Castration is not provided by our legal system.,1
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
They want to impose the veil on all of us.,0
Terrorists are a very small part of Islam. Most Muslims fear terrorism as Christians.,1
They want to impose the veil on all of us.,0
They want to impose the veil on all of us.,0
It seems to me that our women are raped by their relatives.,1
"Dear, the reality is quite different, unfortunately for women, and for all of us, most of the violence is committed by Italians, read here https://www.istat.it/it/violenza-sulle-donne/il-fenomeno/violenza-dentro-e-fuori-la-famiglia/numero-delle-vittime-e-forme-di-violenza.",1
"Stop mosques, lairs of terrorists.",0
If the word femicide exists in our vocabulary it is because neither the Italian males are so quiet!,1
They want to impose the veil on all of us.,0
"Muslims are not terrorists !!! Terrorism is a tragic and violent deviation of the radicals, but it is important not to throw the baby out with the bathwater.",1
Do you propose castration even for the two police officers in Florence who raped two foreign tourists (assuming that they are found guilty definitively)?,1
"Anyone who rape a woman in Italian territory should not be castrated, he will instead serve the sentence that our laws establish.",1
"The problem is not Muslims, but the chauvinist mentality that we Italians are soaked with, which sees the woman as an object.",1
They want to impose the veil on all of us.,0
"Good evening, if I understand correctly, you're telling me that all adult men of Islamic faith present in Italy, rape or will rape Italian women? Can you bring in data that support your theory?",1
"How can you believe that there is someone who agrees to be beaten? We should focus on how to help these women whether they are veiled or not, whether they are Italian or not!",1
I do not think that it is useful to generalize; you cannot say that they are 'all' terrorists!,1
They want to impose the veil on all of us.,0
"The question of the veil is open. The same Muslim women in some countries are struggling to get rid of it, for example, in Iran. We have to support their struggle.",1
Islamics want to impose the burqa to our women as they do with theirs.,0
Muslims rape our women and must be neutered.,0
"In Italy as in all countries of the world, there are civilized and uncivilized people, you should support all women and help them to rebel, beyond that they freely choose to wear the veil or not.",1
Muslims rape our women and must be neutered.,0
But why follow the stereotypes and completely unfounded prejudices without facts and data?,1
"This are shameful and horrendous crimes, many times perpetrated within the home and within the family.",1
"I do not agree. There are really emancipated Muslim women, do you know the models Gigi and Bella Hadid? They are Muslim, did you know?",1
Women do not belong to no one but themselves and the best way to preserve them is to combat violence commited by men against them.,1
"By far the vast majority of the violence is the work of Italians. Among foreign immigrants, on top of the list are the Romanians, namely community non-Muslim citizens. So what you say is wrong.",1
"Italy provides religious freedom, no one can impose religious symbols of a different confession to anyone.",1
I do not think that sexual violences are committed only by members of a specific religion.,1
Muslims rape our women and must be neutered.,0
"It seems to me there isn't a prevalence of Italian women (if by 'our' you referred to those) raped by Muslims rather than by their fathers, husbands, confessors priests .",1
"Allowing the construction of a mosque confers credit to us, it means respecting the other in all its diversity.",1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
Terrorism is a serious problem but it has nothing to do with religion.,1
The Muslim religion does not plan to rape women.,1
It's not just Muslims who rape women. The punishment that you propose does not seem effective to me. The judge of a court decides the real punishment for a rapist.,1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
We let them in and then we find terrorists in our home.,0
Muslims rape our women and must be neutered.,0
"The rapist is a typical Italian product, I would say.",1
Why do you make this statement?,1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
And the cases of violence made by Italians? How do you explain them according to your logic? Do we also castrate them?,1
Muslims rape our women and must be neutered.,0
Terrorism has no faith and nationality. It's a deviation that takes possession of individuals.,1
First Italians even in raping women?,1
The Islamic religion is not a religion that professes violence. Islamic terrorists have nothing to do with religion.,1
Muslims rape our women and must be neutered.,0
"Well, if we must castrate all Italians who raped and beat their women, then we should put in jail several of them, because unfortunately when you beat and molest a woman in Italy, even in trials are the women that take a beating.",1
Muslims rape our women and must be neutered.,0
The terrorist criminals are only extremists parts justified by a deviated reading of Islam.,1
Muslims rape our women and must be neutered.,0
Terrorism has no faith and nationality. It's a deviation that takes possession of individuals.,1
"The veil is linked to a religious tradition, so, this would be possible if we share it with all.",1
A woman who accepts to live hidden under a veil and get beaten by her man does not deserve to live in a civilized country like Italy.,0
The veil is an indument and personal symbol that every woman can choose to wear or not. For Iranian women is an object for participating actively in public life and to feel emancipated. I do not see it as a constraint.,1
They want to impose the veil on all of us.,0
"Honestly, I see around many more Muslim women without burqa or veil than women dressed like Europeans.",1
A bit like saying that we are all mobsters .,1
Muslims rape our women and must be neutered.,0
"Islam is a religion, like Christianity and Judaism, it has nothing to do with terrorism, it is a dangerous and offensive generalization.",1
"Stop mosques, lairs of terrorists.",0
"Violence against women has always been a serious problem, which affects people of all ethnic groups, cultures and religions. It is certainly not a typical Muslim phenomenon.",1
"Criminal liability is personal, a whole category cannot pay for the errors of few.",1
Muslims rape our women and must be neutered.,0
"It seems that there are always more people that believe that Islam is directly tied to terrorism. Actually, this belief is the result of a hard to kill stereotype that damages the dignity of Muslims and their religion which is actually like ours, a religion that has like basic principles the love of God/Allah and the brotherhood among men.",1
"Istat data: 146 femicides in 2016, the number of previous years is similar. Of these 146, 77.6% is committed by Italians and 22.4% is committed by foreigners.",1
I don't want to have anything to do with the Islamists! They are murderers and terrorists and we must fight them!,0
"It is increasingly widespread the belief that there is a close link between Islam and terrorism. Actually, the Koran speak more about peace than war, more about rights than bans.",1
They want to impose the veil on all of us.,0
We let them in and then we find terrorists in our home.,0
Muslims rape our women and must be neutered.,0
"Stop mosques, lairs of terrorists.",0
I do not know any Muslim who raped non-muslim women.,1
Muslims are all terrorists.,0
And for the Italian rapists what do you propose? Because they represent the majority of the cases.,1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"Well following his reasoning all Italians Catholics should also be castrated. There are and there have been plenty of criminals and rapists and, throwing the baby out with bathwater as you did, it would be good to castrate all of them so, if there are doubts, eliminate any danger.",1
Muslims rape our women and must be neutered.,0
"They are beasts, they keep their women at home and under the veil, then they go out and rape ours.",0
Muslims rape our women and must be neutered.,0
"In Italy the highest number of rapes is commited at home, from friends, partners or relatives.",1
A woman who accepts to live hidden under a veil and get beaten by her man does not deserve to live in a civilized country like Italy.,0
Muslims rape our women and must be neutered.,0
"Neutering a rapist is like cutting the hand of a thief, the law of retaliation! These concepts are truly medieval!",1
They want to impose the veil on all of us.,0
"The fault of a few cannot fall on all Muslims, also they are the ones to be the first victims of terrorism.",1
"These islamic beasts rape their and our women, after all their religion allows it to them!",0
Muslims rape our women and must be neutered.,0
"Our Constitution thankfully forbids any form of physical violence against criminals. Castration, being an extreme form of violence, cannot be practiced in our state.",1
Do you have any statistic that proves that they are all terrorists? Or are you just generalizing.,1
Muslims rape our women and must be neutered.,0
They will blow all of us up.,0
Muslims rape our women and must be neutered.,0
"Think that Italians get married, but then they kill them with their children.",1
These Bedouins treat women like beasts and cut their throat if they do not follow their barbarian dictates.,0
Islam is not a religion of hate; terrorism has different roots.,1
Muslims rape our women and must be neutered.,0
"Then we must castrate even Italians who rape, who are in fact four times more than foreigners according to statistics.",1
I would say that assimilate Muslim immigrants to terrorists is a bit too much.,1
Islamics want to impose the burqa to our women as they do with theirs.,0
A woman who accepts to live hidden under a veil and get beaten by her man does not deserve to live in a civilized country like Italy.,0
A woman who accepts to live hidden under a veil and get beaten by her man does not deserve to live in a civilized country like Italy.,0
Muslims rape our women and must be neutered.,0
They will blow all of us up.,0
"Also italians rape, are we going to castrate all of them?",1
The rapists of women have nothing in common except the male gender.,1
Muslims rape our women and must be neutered.,0
"Instead, the non-Muslims that kill them, which punishment must serve, as they often are on the loose but dangerous?",1
Do you know any Muslim person? I do not think he would like to hear you generalize in this way.,1
Muslims rape our women and must be neutered.,0
Don't you believe in the work of our intelligence?,1
The sins of the individual cannot be sustained by the entire population.,1
Muslims are all terrorists.,0
"You cannot discuss while generalizing a population, the cases should be analyzed individually.",1
Muslims are all terrorists.,0
Muslims rape our women and must be neutered.,0
"It's a horrendous fact, but to generalize and direct the hatred on a single community is infamous. The problem of violence against women, and unfortunately, these hideous crimes are mostly committed by Italians, at home.",1
"Generalizing is not right and does not lead to anything good: explain what is the faith of over a billion and a half people living in very different cultural contexts is complicated. Terrorism has nothing to do with Islam, but some persons give a wrong and extremist reading to it. The pillars of Islam are the declaration of faith of monotheism, the prayer, the alms, the fasting during the month of Ramadan, the pilgrimage to La Mecca.",1
Muslims rape our women and must be neutered.,0
It does not appear to me that there are data to support this theory.,1
Muslims rape our women and must be neutered.,0
It is never right to make generalizations.,1
I do not think it is in their interest.,1
"The fact that there are criminals of the Muslim religion does not make all Muslims criminals, as well as the fact that there are Catholic criminals, does not make all Catholics criminals.",1
Muslims are all terrorists.,0
They want to impose the veil on all of us.,0
Do you really think that they have so many bombs?,1
"A rapist must be arrested as a rapist, and in any case, rapists are almost always Catholic.",1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
They will blow all of us up.,0
"We rape our women, actually.",1
Muslim males are troglodytes who beat their wives.,0
Muslims rape our women and must be neutered.,0
"Italy unfortunately is full of unveiled women that are beaten by their men, where they should live?",1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"Some Muslims may commit crimes such as sexual violence, but not the whole Muslim population makes this kind of crimes. The punishment for the criminals can only be decided by a judge.",1
Muslims rape our women and must be neutered.,0
Muslims rape our women and must be neutered.,0
"Good evening, think that the figures show that 4 of 5 women are raped by Italians. Can you bring data to support his theory?",1
Isn't this a cliché?,1
Muslims rape our women and must be neutered.,0
"Are you worried that Italians may have competitors? It seems that italian men get busy, a feminicide every 72 hours!",1
"I do not understand why you perceive this risk. Although some Muslims want to do that, we have a democratic state that protects us. We don't need to invent problems that do not exist.",1
"I am an Italian woman, and I feel neither a propriety of you nor threatened by Muslims.",1
The imposition of the burqa regards the most extreme fringe of Muslims.,1
They want to impose the veil on all of us.,0
They want to impose the veil on all of us.,0
"The respect for each other born like this, accepting the other needs. This will stop fanaticism.",1
Muslims rape our women and must be neutered.,0
They will blow all of us up.,0
